Id,Text,ChoiceA,ChoiceB,ChoiceC,ChoiceD,CorrectAnswer,CategoryId,PassageId
220,"<p style=""text-align: right; "">الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في<br></p>",موعدنا في (الساعة) الثامنة مساءً,تبدأ المحاضرة في (الساعة) العاشرة,اشتريتُ (الساعة) قبل سنتين,(الساعة) الأخيرة من العمل مُتعبةٌ,2,4,
221,"<p style=""text-align: right; "">الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في<br></p>",دول (المغرب) العربي خمسةٌ,صلّينا المغرب جماعةً,زرتُ دولة المغرب في الصيف,الرباط عاصمة (المغرب),1,4,
222,"<p style=""text-align: right; "">الكلمة المناسبة دلاليّاً لملء الفراغ في عبارة: ""ينبغي للقائمين على إدارة الشركة ............. المستقبل لتعزيز مكانتها التجارية""<br></p>",استحضار,استشراف,استلهام,استنهاض,1,4,
224,"<p style=""text-align: right; "">الكلمة المناسبة إملائياً لملء الفراغ في عبارة: ""إن صَعُبَتْ عليك الدراسة فـ ............ بالنجاح""<br></p>",تفاأل,تفاؤل,تفائل,تفاءَل,3,4,
225,"<p style=""text-align: right; "">علامة الترقيم المناسبة في موضع النجمة في عبارة: فاز فريقنا في المبارة النهائية * إذ كان لاعبوه مستعدّين جيداً<br></p>",،,:,؛,-,2,4,
653,<p>الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في:</p>,هذه السكّين ليست (حادَّة) بما يكفي,حامد (حادُّ) الطبع، صعب المراس,عاد أخي من دراسته وقد أصبح بصره (حديداً),حمدان لا يعتمد عليه لأنه (محدود) الأفق,3,4,
654,<p>الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في:</p>,عبارتُك يا أخي حمّالة (أوجهٍ),بلغ الحماس عند الحاضرين (أوْجَه),لقد أخطأتُ فعلاً، فبماذا (توجّه)؟,هذه مسألة لها (وجهان) في الأقل,1,4,
655,"<p>الكلمة المناسبة دلاليّا لتكملة الفراغ في عبارة: ""ابتعد عن ............. لأنه يسدل على صفاء النيِّة حجاباً كثيفاً"":</p>",الهُدى,المدى,النُّهى,الهوى,1,4,
656,"<p>الكلمة المناسبة دلاليّاً لتكملة الفراغ في عبارة: ""لست أعلم سبباً واحداً يجعله يكنُّ لي .................."":</p>",الاستخفاف,الضغينة,التودُّد,الخشونة,1,4,
657,<p>يقولون: الكرة الآن في ملعب المفاوض الأمريكيّ. وهذا يعني أنَّ الجانب الأمريكي:</p>,أصبح في موقف ضعيف,صارَ في موقف أقوى,كسب المفاوضات,مُطالَب بالردّ على المقترحات,3,4,
658,<p>علامة الترقيم المناسبة في موضع النجمة في عبارة: لا تكثرْ من الطعام * فإنَّ التخمة سببُ كلّ داء.</p>,.,؛,؟,:,1,4,
659,<p>الكلمة غير المنسجمة مع سائر الكلمات هي:</p>,التّطوّر,التّقدّم,التّحضّر,التّندّر,3,4,
660,<p>الكلمة غير المنسجمة مع سائر الكلمات هي:</p>,الشعر,القصيدة,القافية,الناشر,3,4,
661,"<p>نستخرج لفظة ""سما"" من المعجم الوسيط من الجذر:</p>",سمى,سمو,سمي,سما,1,4,
663,"<p>قال الشاعر إيليا أبو ماضي: إنّ شرّ الجناة في الأرض نفسٌتتوقّى، قبل الرّحيل، الرّحيلا.""يعني بهذا:</p>",يمدح الشّاعر عصره,المغادرة,الموت,يمدح الشاعر نفسه,1,4,
664,<p>علامة الترقيم المناسبة في موضع النّجمة في عبارة: كم مبدعٍ عرفتَ*</p>,.,؛,؟,!,3,4,
665,<p>الكلمة غير المنسجمة مع سائر الكلمات هي:</p>,الكتابة,الفضاء,الإبداع,القصيدة,1,4,
666,<p>الكلمة غير المنسجمة مع سائر الكلمات هي:</p>,التعليم,المناهج,التخطيط,المعلِّم,2,4,
667,"<p>نستخرج لفظة ""الجنى"" من المعجم الوسيط من الجذر:</p>",جنى,جنو,جني,جنا,2,4,
668,"<p>الكلمة المناسبة دلاليّاً لتكملة الفراغ في عبارة: ""لمّا .....القصيدة"":</p>",يكتبْ,يكتبِ,يكتبون,يكتبان,1,4,
669,<p>يا ابنةَ اليَمِّ ما أَبوك بَخيل.يعني بهذا:</p>,‌الفتاة,السفينة,المدرسة,الحديقة,1,4,
670,<p>علامة الترقيم المناسبة في موضع النّجمة في عبارة: كم مبدعاً عرفتَ*.</p>,       .,       ؛,      ؟,!,2,4,
671,<p>الكلمة غير المنسجمة مع سائر الكلمات هي:</p>,‌ النّهار,الضّياء,النّور,السّحَر,3,4,
672,<p>الكلمة غير المنسجمة مع سائر الكلمات هي:</p>,العلم,المعرفة,الثقافة,الاستبداد,3,4,
673,"<p>نستخرج لفظة ""تعرّف"" من المعجم الوسيط من الجذر:</p>",فرع,رفع,عرف,عرّف,2,4,
674,"<p>الكلمة المناسبة دلاليّاً لتكملة الفراغ في عبارة: ""لمّا .....الكرة"":</p>",يرمِي,يرمِ,يرمون,يرميان,1,4,
675,"<p>قال المتنبي: ""وَأسْمَعَتْ كَلِماتي مَنْ بهِ صَمَمُ"" تعني:</p>",يمدح الشاعر عصره,يمدح الشاعر قومه,يمدح نفسه وشعره,يمدح الشاعر الشعراء جميعاً,2,4,
676,<p>علامة الترقيم المناسبة في موضع النّجمة في عبارة: أكرم بمحمّدٍ*.</p>,.,      ؛,      ؟,!,3,4,
677,<p>الكلمة غير المنسجمة مع سائر الكلمات هي:</p>,الهُيام,المجد,الحُبّ,العِشق,2,4,
678,<p>الكلمة غير المنسجمة مع سائر الكلمات هي:</p>,‌‌ الجدال,النِّقاش,الحِوار,الحُريّة,3,4,
679,"<p>نستخرج لفظة ""استرسل"" من المعجم الوسيط من الجذر:</p>",استرسل,استرسال,رسل,لسر,2,4,
681,"<p>يقولون:""الشمس واقفة في كبد السماء منذ الصباح"" تعني:</p>",أنّ النهار سريع,أنّ النّهار في منتصفه,أنّ الجوّ حارّ,أنّ الجوّ بارد,2,4,
682,<p>علامة الترقيم المناسبة في موضع النّجمة في عبارة: قل* هذه وحدتنا التي نرجوها.</p>,     .,       ؛,       ؟,     :,3,4,
683,<p>الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في:</p>,(ساعد) الكبيرُ الصغيرَ.,(ساعد) أصدقاءك تنلْ ودَّهم.,(ساعد) أخي قويٌّ.,(ساعد) أبي أخي.,2,4,
685,"<p>في جملة ""قَلَبَ القومُ لأعدائهم ظَهْر المِجَنّ""، معنى الجملة يُشيرُ إلى:</p>",التودّد.,المُعاداة.,المصالحة.,التسامح.,1,4,
686,<p>في قول الشاعر: لِمَن المضارب في ظلال الوادي***ريّا الرحاب تغصُّ بالورّاد، المقصود بالمضارب:</p>,أدوات الزراعة. ,بيوت الشعر.,المواشي.,آبار المياه.,1,4,
687,"<p>في جملة ""صديقي كثيرُ الرّمادِ""، المقصود بكثير الرَّمادِ:</p>",حكيم.,شجاع.,لئيم.,كريم.,3,4,
689,<p>الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في:</p>,صندوق (النقد) الدولي يتحكّم بقرارات الدول.,نقبلُ كباحثين (النقد) البنّاء من الآخرين.,نسعى للحصول على (النقد) الكافي لسد العجز.,لا تقبل المحال التجاري إلا أوراق (النقد) الجديدة.,1,4,
690,<p>الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في:</p>, (حمل) الأوزانِ الثقيلة مُضِرٌ بالصحة., (حمل) الممنوعات يُعرّضك للمسؤولية. , (حمل) البيتُ الشعري الكثير من المعاني. , (حمل) الرجلُ حقائب السفر.,2,4,
692,"<p>الكلمة المناسبة دلاليّاً لتكملة الفراغ في عبارة: ""............ صبرُ المتعطّلين عن العمل"":</p>",نفَّدَ.,نفَدَ.,نَفَّذَ.,نفَذَ.,1,4,
694,<p>علامة الترقيم المناسبة في موضع النجمة في عبارة: أيّها الطلاب، أليس لديكم أسئلة *.</p>,.,؛,؟,:,2,4,
695,<p>الكلمة غير المنسجمة مع سائر الكلمات التي بين أقواس هي في:</p>,(لفظ) الجُمَلِ صعبٌ.,(لفظ) الرجلُ أنفاسه الأخيرة.,(لفظ) الطفلُ كلماتِ الأولى.,(لفظ) الطالبُ الحروفَ.,1,4,
697,"<p>يقولُ المَثَلُ: ""أخَذَ القوسَ باريها""، يُستخدَم المثل إذا:</p>",أخَذَ المكافأة مَن لا يستحقها. ,أُرسِلَت الأقواس إلى مَنْ يُصلِحُها. ,استعدَّ المقاتل للحرب.,أُسنِدَ الأمر إلى الشخص المؤهل.,3,4,
698,"<p>في جملة ""أرنو إلى المستقبل""، تعني كلمة (أرنو):</p>",أخافُ. ,أتطلّعُ.,أشتاقُ.,أخطّطُ.,1,4,
700,<p>علامة الترقيم المناسبة في موضع النجمة في عبارة: ما أجملَ آثار الأردن*.</p>,.,؛,؟,!,3,4,
